"","M","SD"
"V.corA_Ongoing",1.30157275027689,0.0167310755383839
"V.corB_Ongoing",1.45433716117702,0.0175228665735112
"V.corC_Ongoing",1.38155628711709,0.0172740021135264
"V.corD_Ongoing",1.73304196585365,0.0209401584364968
"V.errA_Ongoing",0.261163793864937,0.0296272446344433
"V.errB_Ongoing",0.613872081970758,0.0226173112178687
"V.errC_Ongoing",0.410692906393309,0.0271048972539647
"V.errD_Ongoing",1.0861566789323,0.0214844625162651
"V.ppA_PM",2.40540690791764,0.0529866073067623
"V.ppB_PM",2.12566176513301,0.0568772815649797
"V.ppC_PM",2.09138679886943,0.0544738538046474
"V.ppD_PM",1.73496226826208,0.060087765733199
